bbchallenge_id,machine
895573,1RB---_0LC0RB_1RD0LD_0LE1LD_1LA1RA
896667,1RB---_0LC0RB_1RD1LC_0RE1LE_1RA0LE
946162,1RB---_0LC0RD_0RA1LB_1RC0RE_1LE0LA
955744,1RB---_0LC0RD_0LC1LA_1LD0RE_1LB1RE
993597,1RB---_0LC0RE_0RD0LB_1RE---_1LB1RA
993675,1RB---_0LC0RE_0RD0LB_1LC1RE_1LB1RA
1008892,1RB---_0LC0RE_1RA1LD_1LB0LA_1RB0RE
1021896,1RB---_0LC0RE_1RE1LD_1LB0LA_1RB0RE
1030728,1RB---_0LC0RE_1LD1RC_1RE0LD_0RB1RA
1045837,1RB---_0LC0LB_0LD1LC_1RE1LA_0RE1RB
1045925,1RB---_0LC0LB_0LD1LD_1RE1LA_0RE1RB
1219782,1RB---_0LC1RC_0RC1RD_0LE0LD_1LA1LE
1219946,1RB---_0LC1RC_0RC1LD_1LE1RE_1LA0LE
1265165,1RB---_0LC1RD_0RA1LB_0RE0LD_1RC1LA
1274990,1RB---_0LC1RD_0RD0LB_0RE1RC_1LB1RA
1316082,1RB---_0LC1RD_1LA1LB_1RE1LC_1RB0RE
1316091,1RB---_0LC1RD_1LA1LB_1RE1LD_0LA0RE
1316605,1RB---_0LC1RD_1LA1LC_0RD1RE_0LC0LE
1340583,1RB---_0LC1RE_0RA1LD_1LB0LA_0RB0RE
1364769,1RB---_0LC1RE_0LD1LC_1RA0RB_0RD1LD
1365166,1RB---_0LC1RE_0LD1LC_1RA1LB_0RB0RA
1365777,1RB---_0LC1RE_0LD1LC_1LA0LB_1RB0RE
1365820,1RB---_0LC1RE_0LD1LC_1LA1RB_1RB0RE
1365911,1RB---_0LC1RE_0LD1LC_1LA1LC_1RB0RE
1395279,1RB---_0LC1RE_1LA0LD_1LB1LD_1RB0RE
1397659,1RB---_0LC1RE_1LA1LD_0LC1LD_1RB0RE
1435339,1RB---_0LC1LB_1RD0LD_0RE1LE_1LA0RB
1441106,1RB---_0LC1LB_1LE0RD_1RC0RD_1RC1LA
1441109,1RB---_0LC1LB_1LE0RD_1RC0RD_1RD1LA
1457600,1RB---_0LC1LC_1RD1LB_0RE1RD_0RA0LA
1465912,1RB---_0LC1LC_1LD1LB_1RE1RD_0LA0RE
1521493,1RB---_0LC1LD_1LA0LD_0RE1RD_1LB0RB
1521843,1RB---_0LC1LD_1LA0LD_1LB1RE_1RB0RE
1636715,1RB---_1RC---_1LD1RE_0RA0LE_0LD0RB
1639869,1RB---_1RC0RA_0RD0LE_1LE1RB_1LC0LE
1642116,1RB---_1RC0RA_1LD0RA_0RA0LE_0LD1LE
1642132,1RB---_1RC0RA_1LD0RA_1RA0LE_0LD1LE
1642137,1RB---_1RC0RA_1LD0RA_1RB0LE_0LD1LE
1642173,1RB---_1RC0RA_1LD0RB_0LE0LC_1RA0LE
1642213,1RB---_1RC0RA_1LD0RD_0RE0LD_0LC1LA
1642223,1RB---_1RC0RA_1LD0RD_1RB0LE_0LD1LE
1642236,1RB---_1RC0RA_1LD0RE_0RA0LE_0LD1LE
1642828,1RB---_1RC0RA_1LD1RD_1LE0LD_0RB0LB
1645117,1RB---_1RC0RB_0LC0LD_1RA1LE_1LA1LB
1645449,1RB---_1RC0RB_0LC1RD_1LE0RD_1LA1LC
1649860,1RB---_1RC0RB_0LD1RA_1LB0LE_0LD1LE
1652616,1RB---_1RC0RB_0LD1LE_0RA1LC_1LC1LA
1655592,1RB---_1RC0RB_1LC1LD_0LE1LA_0LE0RA
1655923,1RB---_1RC0RB_1LD0RA_0LE0LC_0RB0LD
1656334,1RB---_1RC0RB_1LD0RB_1RE0LC_0LA1LE
1656429,1RB---_1RC0RB_1LD0RB_1LE0LC_0LA1LE
1658959,1RB---_1RC0RB_1LD1RA_0LE0LD_1LA0RE
1658977,1RB---_1RC0RB_1LD1RA_1LE0LD_1RB0LC
1659535,1RB---_1RC0RB_1LD1RD_0LE0LC_0LA0RA
1673216,1RB---_1RC0RC_0LD0LE_1RA1LE_0RA1LC
1699826,1RB---_1RC0RC_1LD0LE_0LA0LC_0RB1RE
1700903,1RB---_1RC0RC_1LD1RA_0RC0LE_1LD0LD
1701000,1RB---_1RC0RC_1LD1RA_1LE0LD_0RB1RE
1721949,1RB---_1RC0RD_0LD0RB_1LE1RD_0LA0LC
1727909,1RB---_1RC0RD_0LD1LC_1RA1LE_0RE0LD
1749405,1RB---_1RC0RD_1LD0RA_0LE0LC_0RB0LD
1749436,1RB---_1RC0RD_1LD0RA_1RB0LE_0LD1LE
1749937,1RB---_1RC0RD_1LD0RB_1LE0LD_0LA0LC
1750470,1RB---_1RC0RD_1LD0RD_1RA1LE_1RB0LE
1754121,1RB---_1RC0RD_1LD1RA_0RC0LE_0LC0LD
1754618,1RB---_1RC0RD_1LD1RB_1RA1LE_1RB0LE
1757387,1RB---_1RC0RD_1LD1LB_1RA1LE_1RB0LE
1773524,1RB---_1RC0RE_0LD1RA_0LB1LB_1LC0LD
1785561,1RB---_1RC0RE_1RD1LC_0LC1LE_1RA0LE
1798524,1RB---_1RC0RE_1LD1RA_0RC0LE_1LD0LD
1798627,1RB---_1RC0RE_1LD1RA_0LE0LD_1LA1RB
1801588,1RB---_1RC0RE_1LD1RE_1LB0LD_1RA1LA
1804440,1RB---_1RC0RE_1LD1LC_0RE0LD_1RA1RE
1813355,1RB---_1RC0LB_0RD1RE_1LE0RD_1LB1RA
1815363,1RB---_1RC0LB_0LD0RC_1LE1RD_0LA1LB
1821469,1RB---_1RC0LB_1LD0RC_1RE1LB_---1RA
1821471,1RB---_1RC0LB_1LD0RC_1RE1LB_0RA1RE
1821473,1RB---_1RC0LB_1LD0RC_1RE1LB_0LA0LE
1821478,1RB---_1RC0LB_1LD0RC_1RE1LB_1RA1RD
1821479,1RB---_1RC0LB_1LD0RC_1RE1LB_1RA1RE
1821689,1RB---_1RC0LB_1LD0RD_1RE1LB_0RA0RD
1821690,1RB---_1RC0LB_1LD0RD_1RE1LB_0RA0LE
1821691,1RB---_1RC0LB_1LD0RD_1RE1LB_0RA1RC
1821692,1RB---_1RC0LB_1LD0RD_1RE1LB_0RA1LC
1821971,1RB---_1RC0LB_1LD0RE_0LA1LB_0LC0RE
1823286,1RB---_1RC0LB_1LD1RE_---1LC_1LB0RE
1823388,1RB---_1RC0LB_1LD1RE_0RC1LB_1RA0RC
1823718,1RB---_1RC0LB_1LD1RE_1LC1LB_1RA0RC
1823734,1RB---_1RC0LB_1LD1RE_1LD1LB_1RA0RC
1826544,1RB---_1RC0LC_0RD0LE_1LE0RC_0LB---
1829616,1RB---_1RC0LC_0RD1LE_1LB0RC_0LA0LB
1832214,1RB---_1RC0LC_0LD0RA_0RE1LD_1RE0LC
1853215,1RB---_1RC0LC_1LD0RA_0LE0LB_1RE1RC
1859548,1RB---_1RC0LC_1LD1RA_0RE0LD_0RB1LB
1859791,1RB---_1RC0LC_1LD1RA_1LE0RD_0LE1LB
1891622,1RB---_1RC0LD_1RD1RB_1LE0RA_1LB0RB
1917381,1RB---_1RC0LD_1LC1LD_0RE0LB_0RA1RE
1918300,1RB---_1RC0LD_1LD0RA_1LE1LB_0RC0RB
1919527,1RB---_1RC0LD_1LD0RC_1RB1LE_0LA0LB
1922919,1RB---_1RC0LD_1LD0LE_0RE0LB_1RD1RA
1923693,1RB---_1RC0LD_1LD1RB_0RE0LB_1RD1RA
1930718,1RB---_1RC0LE_0RD---_1LE0RE_0LB0RC
1935432,1RB---_1RC0LE_0RD1RD_1LB1RA_0RC0LE
1936237,1RB---_1RC0LE_0RD1LA_1LD0RB_0LC0RA
1960893,1RB---_1RC0LE_1RD0LD_1LB0RA_0RC1LE
1961959,1RB---_1RC0LE_1RD1RA_1LB0RD_0RB0LE
1967724,1RB---_1RC0LE_1RD1LE_0LB0RD_1LA1LC
1972656,1RB---_1RC0LE_1LD0RA_1LA0LB_0LD1RA
1980418,1RB---_1RC0LE_1LD1RA_0RE0LD_1RA0LB
1991782,1RB---_1RC1RA_0LD0RB_1LE1RD_0LA0LC
1991814,1RB---_1RC1RA_0LD0RC_0LB1LE_1RC1LD
1993671,1RB---_1RC1RA_1LC0RD_0RB0LE_1LE0LD
1994326,1RB---_1RC1RA_1LD0LE_0RB0LC_0LC1RD
1996249,1RB---_1RC1RB_0RD1LE_1RE0RA_1LC0LE
2007157,1RB---_1RC1RB_1LD0RB_0LA1LE_1LD0LC
2007406,1RB---_1RC1RB_1LD0RB_1LA1LE_1LD0LC
2087834,1RB---_1RC1RD_1LC0LB_0LE0RA_1RE0LD
2092476,1RB---_1RC1RD_1LD0RA_1LE0LD_0RB0LE
2097009,1RB---_1RC1RD_1LD1RA_0RC0LE_0LB0LD
2114827,1RB---_1RC1RE_0LD0RC_0LE1LD_1LB1RA
2122462,1RB---_1RC1RE_0LD1RE_0LE1LD_1RA0RC
2125703,1RB---_1RC1RE_0LD1LC_1LA1LC_1RB0RE
2136479,1RB---_1RC1RE_1LC0LD_1RD0LE_0LD0RA
2140100,1RB---_1RC1RE_1LD0RA_0RC1LE_0RE0LC
2140249,1RB---_1RC1RE_1LD0RA_1LE0LD_0RC1RB
2140322,1RB---_1RC1RE_1LD0RB_0RA0LE_1RA0LD
2140703,1RB---_1RC1RE_1LD0RB_0LA1LE_0LD1LC
2184835,1RB---_1RC1LB_1RD0RE_0LB0RA_0RC1LD
2202884,1RB---_1RC1LB_1LD1RD_1RA0LE_0RD0LE
2203252,1RB---_1RC1LB_1LD1RE_0RA0LD_0RB1RA
2203519,1RB---_1RC1LB_1LD1RE_0RE0LD_1RA0RD
2203521,1RB---_1RC1LB_1LD1RE_0RE0LD_1RA0LD
2203524,1RB---_1RC1LB_1LD1RE_0RE0LD_1RA1RD
2204428,1RB---_1RC1LB_1LD1RE_1LB0LD_1RA0RC
2213183,1RB---_1RC1LC_0RD1RE_1LB1RA_1RD0LB
2275999,1RB---_1RC1LD_0LB0RE_0LA1LB_0LD0RE
2301946,1RB---_1RC1LD_0LD1RB_1LA0LE_1LB0RB
2310702,1RB---_1RC1LD_1RD1RA_1RE0LD_1LB0RE
2326331,1RB---_1RC1LD_1LB1RA_1RE0LD_1LB0RE
2372187,1RB---_1RC1LE_0LD0RC_0LA1LB_0RE1LD
2372193,1RB---_1RC1LE_0LD0RC_0LA1LB_0LA1LD
2372220,1RB---_1RC1LE_0LD0RC_0LA1LE_0LA1LB
2372589,1RB---_1RC1LE_0LD0RC_1LA0RD_0LA1LB
2372641,1RB---_1RC1LE_0LD0RC_1LA0LC_0LA1LB
2372658,1RB---_1RC1LE_0LD0RC_1LA0LD_0LA1LB
2372733,1RB---_1RC1LE_0LD0RC_1LA1LC_0LA1LB
2372771,1RB---_1RC1LE_0LD0RC_1LA1LE_0LA1LB
2381739,1RB---_1RC1LE_0LD1RE_0LE1LD_1RA0RC
2388460,1RB---_1RC1LE_1RD0RC_0LE1RB_1LA0LB
2388501,1RB---_1RC1LE_1RD0RC_1RE1RA_1LB0LB
2390237,1RB---_1RC1LE_1RD0RE_1LB0RD_0LA0LB
2421205,1RB---_1RC1LE_1LD1RE_1LA0LD_1RA0RE
2485167,1RB---_1LB0LC_1RD0LA_0RE1RB_0LB0RD
2485169,1RB---_1LB0LC_1RD0LA_0RE1LC_0RB0RD
2498754,1RB---_1LB0LC_1LD0LB_1RE0RD_1RA0RD
2498756,1RB---_1LB0LC_1LD0LB_1RE0RE_1RA0RD
2541881,1RB---_1LB1RC_1RA1RD_1LE0RD_0LB0LC
2611045,1RB---_1LB1LC_1RD0LE_0RB0RC_1LC0LA
2631006,1RB---_1LB1LC_1LD1RE_0RC0LD_0RA1RC
2677941,1RB---_1LC0RA_1RD0LB_1RE0RC_1LE0LC
2678226,1RB---_1LC0RA_1RD1LC_0RD0LE_1RA0LC
2678603,1RB---_1LC0RA_1RE0LD_1LE0RD_0LB1RC
2678987,1RB---_1LC0RA_1LD0LB_1RE1LB_1RB0RE
2679465,1RB---_1LC0RA_1LE1RD_0RB1RC_1LD0LE
2689040,1RB---_1LC0RB_0LA1LD_0LE1LC_0RA0LC
2691466,1RB---_1LC0RB_0LD0LC_1RE1RB_1RD0RA
2694520,1RB---_1LC0RB_0LD1LA_1LD0LE_1RA0RA
2698063,1RB---_1LC0RB_0LE1LD_0RB0LA_1RA0LE
2699059,1RB---_1LC0RB_0LE1LD_1LA1LB_1RA0LE
2702671,1RB---_1LC0RB_1RD0LC_0RE1RA_0LB0RD
2703300,1RB---_1LC0RB_1RD0LC_1LE1RA_0RB1LD
2703303,1RB---_1LC0RB_1RD0LC_1LE1RA_1LA0RE
2703335,1RB---_1LC0RB_1RD0LC_1LE1RE_1RA1LB
2706440,1RB---_1LC0RB_1RD1LD_1RB1LE_1LA0LC
2707711,1RB---_1LC0RB_1RE0LD_0RC0LD_1RA1RC
2713283,1RB---_1LC0RB_1LD0LC_0RE1RD_1LB0RA
2728678,1RB---_1LC0RC_0LA0LD_1RE1LD_0RC0RB
